-0.999750,12.862100,10.368300,10.438300,11.669900,13.493100,13.342300,8.041690,8.739010,26.225700,59.052800
-0.999472,12.861700,10.368200,10.437500,11.669700,13.492700,13.341200,8.041330,8.739080,26.230800,59.029900
-0.999194,12.860700,10.368600,10.437000,11.669600,13.492400,13.340500,8.041010,8.739150,26.236500,59.009300
-0.998916,12.860200,10.368600,10.437000,11.669700,13.492100,13.339800,8.040860,8.739360,26.241600,58.990500
-0.998627,12.859500,10.368800,10.437400,11.669900,13.491900,13.339000,8.040870,8.739860,26.246200,58.973600
-0.998349,12.859400,10.369100,10.437600,11.670200,13.492100,13.338200,8.040880,8.740160,26.250300,58.958300
-0.998071,12.859500,10.369500,10.437800,11.670200,13.491900,13.337700,8.040600,8.740130,26.254100,58.944500
-0.997793,12.858700,10.369600,10.437200,11.669800,13.491600,13.337100,8.040630,8.739630,26.257500,58.931900
-0.997515,12.857900,10.369300,10.436500,11.669400,13.491400,13.336500,8.040090,8.739490,26.260600,58.920600
-0.997227,12.857300,10.369200,10.436200,11.669300,13.491200,13.336400,8.039890,8.739370,26.262600,58.910300
-0.996948,12.856900,10.369500,10.436200,11.669200,13.491300,13.335900,8.039700,8.739560,26.264300,58.901000
-0.996670,12.856500,10.369600,10.436300,11.669500,13.491100,13.335600,8.039680,8.739580,26.265800,58.892600
-0.996392,12.856900,10.369400,10.436200,11.669800,13.491200,13.335200,8.039510,8.739450,26.267100,58.885000
-0.996114,12.856300,10.369500,10.436500,11.670000,13.491500,13.335000,8.039510,8.739780,26.268300,58.878100
-0.995826,12.855800,10.369800,10.436800,11.670300,13.491800,13.334600,8.039500,8.739940,26.269500,58.871900
-0.995548,12.855300,10.369600,10.436700,11.670300,13.491800,13.334700,8.039640,8.740230,26.270500,58.866300
-0.995270,12.854900,10.369400,10.436600,11.670500,13.492100,13.334400,8.039480,8.740030,26.270800,58.861200
-0.994992,12.855000,10.369800,10.437000,11.670700,13.492100,13.334700,8.039470,8.740470,26.270700,58.856600
-0.994714,12.855000,10.369900,10.436700,11.670400,13.492100,13.334400,8.039470,8.740400,26.270700,58.852400
-0.994425,12.854600,10.370000,10.436600,11.670600,13.491800,13.334000,8.039470,8.740500,26.270600,58.848700
-0.994147,12.854300,10.370800,10.435900,11.670600,13.492500,13.334200,8.039320,8.740580,26.270600,58.845200
